"id_libelle_diplome";"formation_diplome";"libelle_diplome";"abreviation_diplome";"libelle_long";"niveau";"fm";"archive"
"1";"01022001";"MC4 AGT CONTROL.NON DESTRUCTIF (MC4)";"MC4";"AGENT DE CONTROLE NON DESTRUCTIF (MC NIVEAU IV)";"0";"0";"0"
"2";"01022103";"MC5 EMPLOYE TRAITEUR (MC5)";"MC5";"EMPLOYE TRAITEUR (MC NIVEAU V)";"0";"0";"0"
"3";"01022105";"MC5 CUISINIER DESSERTS RESTAU. (MC5)";"MC5";"CUISINIER EN DESSERTS DE RESTAURANT (MC NIVEAU V)";"0";"0";"0"
"4";"01022106";"MC5 VENDEUR SPEC. ALIMENTAT. (MC5)";"MC5";"VENDEUR SPECIALISE EN ALIMENTATION (MC NIVEAU V)";"0";"0";"0"
"5";"01022107";"MC5 BOULANGERIE SPECIALISEE (MC5)";"MC5";"BOULANGERIE SPECIALISEE (MC NIVEAU V)";"0";"0";"0"
"6";"01022108";"MC5 PATISSERIE BOULANGERE (MC5)";"MC5";"PATISSERIE BOULANGERE (MC5)";"0";"0";"0"
"7";"01022109";"MC5 ART DE LA CUISINE ALLEGEE";"MC5";"ART DE LA CUISINE ALLEGEE (MC NIVEAU V)";"0";"0";"0"
"8";"01022110";"MC5 PATIS.GLACE.CHOC.CONFIS.SPECIAL.";"MC5";"PATISSERIE, GLACERIE, CHOCOLATERIE, CONFISERIE SPECIALISEES (MC NIVEAU V)";"0";"0";"0"
"9";"01022304";"MC5 JOAILLERIE (MC5)";"MC5";"JOAILLERIE (MC NIVEAU V)";"0";"0";"0"
"10";"01022405";"MC5 CONDUCT.MACHINES VERRERIE (MC5)";"MC5";"CONDUCTEUR DE MACHINES DE VERRERIE (MC NIVEAU V)";"0";"0";"0"
"11";"01022701";"MC5 MAINT.EQUIPT THERMIQ.INDIV. (MC5)";"MC5";"MAINTENANCE EN EQUIPEMENT THERMIQUE INDIVIDUEL (MC NIVEAU V)";"0";"0";"0"
"12";"01022703";"MC4 TECHN.DES SERVICES ENERGIE (MC4)";"MC4";"TECHNICIEN(NE)  DES SERVICES A L'ENERGIE (NIVEAU IV)";"0";"0";"0"
"13";"01022704";"MC4 TECH.ENERG.RENOUV.A EN.ELECTRIQUE";"MC4";"TECHNICIEN EN ENERGIES RENOUVELABLES OPTION A ENERGIE ELECTRIQUE (MC NIVEAU IV)";"0";"0";"0"
"14";"01022705";"MC4 TECH.ENERG.RENOUV.B EN.THERMIQUE";"MC4";"TECHNICIEN EN ENERGIES RENOUVELABLES OPTION B ENERGIE THERMIQUE (MC NIVEAU IV)";"0";"0";"0"
"15";"01023202";"MC5 ZINGUERIE (MC5)";"MC5";"ZINGUERIE (MC NIVEAU V)";"0";"0";"0"
"16";"01023302";"MC5 PLAQUISTE (MC5)";"MC5";"PLAQUISTE (MC NIVEAU V)";"0";"0";"0"
"17";"01023304";"MC4 PEINTURE DECORATION (MC4)";"MC4";"PEINTURE DECORATION (MC NIVEAU IV)";"0";"0";"0"
"18";"01023306";"MC4 VEND.CONS.PROD.TECH.HABITAT (MC4)";"MC4";"VENDEUR-CONSEIL EN PRODUITS TECHNIQUES POUR L'HABITAT (MC NIVEAU IV)";"0";"0";"0"
"19";"01023403";"MC5 PARQUETEUR (MC5)";"MC5";"PARQUETEUR (MC NIVEAU V)";"0";"0";"0"
"20";"01024201";"MC5 ESSAYAGE-RETOUCHE-VENTE (MC5)";"MC5";"ESSAYAGE-RETOUCHE-VENTE (MC NIVEAU V)";"0";"0";"0"
"21";"01024202";"MC5 DECORS TEXT. PERM.  EPHEM. (MC5)";"MC5";"DECORS TEXTILES PERMANENTS ET EPHEMERES (MC NIVEAU V)";"0";"0";"0"
"22";"01024301";"MC5 PIQUAGE ARTICLES CHAUSSANTS (MC5)";"MC5";"PIQUAGE D'ARTICLES CHAUSSANTS (MC NIVEAU V)";"0";"0";"0"
"23";"01025002";"MC4 TECHNIC.ASCENSORIST. SERV.-MODERN";"MC4";"TECHNICIEN(NE) ASCENSORISTE (SERVICE ET MODERNISATION) (MC NIVEAU IV)";"0";"0";"0"
"24";"01025003";"MC4 MECATRONIQUE NAVALE (MC4)";"MC4";"MECATRONIQUE NAVALE (MC NIVEAU IV)";"0";"0";"0"
"25";"01025118";"MC5 REAL.CIRCUIT OLEOHYDR.PNEUM.(MC5)";"MC5";"REALISATION DE CIRCUITS OLEOHYDRAULIQUES ET PNEUMATIQUES (MC NIVEAU V)";"0";"0";"0"
"26";"01025122";"MC4 MAQUETTES ET PROTOTYPES (MC4)";"MC4";"MAQUETTES ET PROTOTYPES (MC NIVEAU IV)";"0";"0";"0"
"27";"01025123";"MC4 MAINT.INST.OLEOHYDRAU.PNEUM.(MC4)";"MC4";"MAINTENANCE DES INSTALLATIONS OLEOHYDRAULIQUES ET PNEUMATIQUES (MC NIVEAU IV)";"0";"0";"0"
"28";"01025207";"MC5 MAINT.MOT.DIESEL EQUIPMTS (MC5)";"MC5";"MAINTENANCE DES MOTEURS DIESEL ET DE LEURS EQUIPEMENTS (MC NIVEAU V)";"0";"0";"0"
"29";"01025308";"MC4 AERON.OPT.AVION.MOT.TURB. (MC4)";"MC4";"AERONAUTIQUE OPTION AVIONS A MOTEURS A TURBINES (MC NIVEAU IV)";"0";"0";"0"
"30";"01025309";"MC4 AERON.OPT.AVION.MOT.PIST. (MC4)";"MC4";"AERONAUTIQUE OPTION AVIONS A MOTEURS A PISTONS (MC NIVEAU IV)";"0";"0";"0"
"31";"01025310";"MC4 AERON.OPT.HELIC.MOT.TURB. (MC4)";"MC4";"AERONAUTIQUE OPTION HELICOPTERES A MOTEURS A TURBINES (MC NIVEAU IV)";"0";"0";"0"
"32";"01025311";"MC4 AERON.OPT.HELIC.MOT.PIST. (MC4)";"MC4";"AERONAUTIQUE OPTION HELICOPTERES A MOTEURS A PISTONS (MC NIVEAU IV)";"0";"0";"0"
"33";"01025312";"MC4 AERON.OPT.AVIONIQUE (MC4)";"MC4";"AERONAUTIQUE OPTION AVIONIQUE (MC NIVEAU IV)";"0";"0";"0"
"34";"01025406";"MC4 TECHNICIEN(NE) EN SOUDAGE (MC4)";"MC4";"TECHNICIEN(NE) EN SOUDAGE (MC NIVEAU IV)";"0";"0";"0"
"35";"01025407";"MC4 TECHNICIEN(NE) EN TUYAUTERIE";"MC4";"TECHNICIEN(NE) EN TUYAUTERIE (MC NIVEAU IV)";"0";"0";"0"
"36";"01025408";"MC4 TECHN. CHAUDR. AERON. & SPATIALE";"MC4";"TECHNICIEN(NE) EN CHAUDRONNERIE AERONAUTIQUE ET SPATIALE (MC NIVEAU IV)";"0";"0";"0"
"37";"01025507";"MC5 MAINT. SYST. EMBARQUES AUTOMOBILE";"MC5";"MAINTENANCE DES SYSTEMES EMBARQUES DE l'AUTOMOBILE (MC NIVEAU V)";"0";"0";"0"
"38";"01025508";"MC4 TECHN. EN RESEAUX ELECTRIQ. (MC4)";"MC4";"TECHNICIEN(NE) EN RESEAUX ELECTRIQUES (MC NIVEAU IV)";"0";"0";"0"
"39";"01031101";"MC4 ACCUEIL DANS TRANSPORTS (MC4)";"MC4";"ACCUEIL DANS LES TRANSPORTS (MC NIVEAU IV)";"0";"0";"0"
