MEF;DISPOSITIF_FORMATION;FORMATION_DIPLOME;DUREE_DISPOSITIF;ANNEE_DISPOSITIF;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;STATUT_MEF;NB_OPTION_OBLIGATOIRE;NB_OPTION_FACULTATIF;RENFORCEMENT_LANGUE;DUREE_PROJET;DUREE_STAGE;HORAIRE;MEF_INSCRIPTION_SCOLARITE;MEF_STAT_11;MEF_STAT_9;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;LIBELLE_EDITION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
3112320121;311;32023201;2;1;1BTS2 23201;1BTS2 TRAVAUX PUBLICS;01/09/1992;31/08/1993;3;0;1;N;0;8;N;O;32211023201;322110232;27/01/1995;OPS$BCNDEP8;02;1bts2 travaux publics;891;;;
3112320122;311;32023201;2;2;2BTS2 23201;2BTS2 TRAVAUX PUBLICS;01/09/1992;31/08/1994;3;0;1;N;0;0;N;O;32221023201;322210232;27/01/1995;OPS$BCNDEP8;02;2bts2 travaux publics;892;;;
3112310421;311;32023104;2;1;1BTS2 23104;1BTS2 GEOMETRE TOPOGRAPHE;01/09/1992;31/08/1997;3;1;0;N;0;8;O;O;32211023104;322110231;19/03/1997;BCNSCO6;02;1bts2 geometre topographe;893;;;
3112310422;311;32023104;2;2;2BTS2 23104;2BTS2 GEOMETRE TOPOGRAPHE;01/09/1992;31/08/1998;3;1;0;N;0;0;O;O;32221023104;322210231;13/10/1997;BCNSCO6;02;2bts2 geometre topographe;894;;;
3112310521;311;32023105;2;1;1BTS2 23105;1BTS2 TRAVAUX PUBLICS;01/09/1993;31/08/2011;3;1;;N;;;O;O;32211023105;322110231;29/04/2011;BCNSCO6;02;1bts2 travaux publics;895;;;
3112310522;311;32023105;2;2;2BTS2 23105;2BTS2 TRAVAUX PUBLICS;01/09/1994;31/08/2012;3;1;;N;;;O;O;32221023105;322210231;29/04/2011;BCNSCO6;02;2bts2 travaux publics;896;;;
3112300222;311;32023002;2;2;2BTS2 23002;2BTS2 ADJOINT TECHNIQ.ENTREPR.BATIMENT;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;32221023002;322210230;27/01/1995;OPS$BCNDEP8;02;2bts2 adjoint techniq.entrepr.batiment;897;;;
3112320221;311;32023202;2;1;1BTS2 23202;1BTS2 BATIMENT;01/09/1992;31/08/1999;3;1;1;N;0;8;O;O;32211023202;322110232;20/05/1999;BCNSCO6;02;1bts2 batiment;898;;;
3112320222;311;32023202;2;2;2BTS2 23202;2BTS2 BATIMENT;01/09/1992;31/08/2000;3;1;1;N;0;0;O;O;32221023202;322210232;01/10/1999;BCNSCO6;02;2bts2 batiment;899;;;
3112330121;311;32023301;2;1;1BTS2 23301;1BTS2 EQUIP.ENERGIE OP_A : TOIT, PLOMB.;01/09/1992;31/08/1999;3;1;1;N;0;8;O;O;32211023301;322110233;17/05/1999;BCNSCO6;02;1bts2 equip.energie op_a : toit, plomb.;901;;;
3112330122;311;32023301;2;2;2BTS2 23301;2BTS2 EQUIP.ENERGIE OP_A : TOIT, PLOMB.;01/09/1992;31/08/2000;3;1;1;N;0;0;O;O;32221023301;322210233;01/10/1999;BCNSCO6;02;2bts2 equip.energie op_a : toit, plomb.;902;;;
3112270121;311;32022701;2;1;1BTS2 22701;1BTS2 EQUIP.ENERGIE OP_B: INSTAL.THERM.;01/09/1992;31/08/1999;3;1;1;N;0;8;O;O;32211022701;322110227;17/05/1999;BCNSCO6;02;1bts2 equip.energie op_b: instal.therm.;903;;;
3112270122;311;32022701;2;2;2BTS2 22701;2BTS2 EQUIP.ENERGIE OP_B: INSTAL.THERM.;01/09/1992;31/08/2000;3;1;1;N;0;0;O;O;32221022701;322210227;01/10/1999;BCNSCO6;02;2bts2 equip.energie op_b: instal.therm.;904;;;
3112270221;311;32022702;2;1;1BTS2 22702;1BTS2 EQUIP.ENERGIE OP_C: INSTAL.FRIGO.;01/09/1992;31/08/1999;3;1;1;N;0;8;O;O;32211022702;322110227;17/05/1999;BCNSCO6;02;1bts2 equip.energie op_c: instal.frigo.;905;;;
3112270222;311;32022702;2;2;2BTS2 22702;2BTS2 EQUIP.ENERGIE OP_C: INSTAL.FRIGO.;01/09/1992;31/08/2000;3;1;1;N;0;0;O;O;32221022702;322210227;01/10/1999;BCNSCO6;02;2bts2 equip.energie op_c: instal.frigo.;906;;;
3112270321;311;32022703;2;1;1BTS2 22703;1BTS2 EQUIP.ENERGIE OP_D: TRANSP.GAZ;01/09/1992;31/08/1999;3;1;1;N;0;8;O;O;32211022703;322110227;17/05/1999;BCNSCO6;02;1bts2 equip.energie op_d: transp.gaz;907;;;
3112270322;311;32022703;2;2;2BTS2 22703;2BTS2 EQUIP.ENERGIE OP_D: TRANSP.GAZ;01/09/1992;31/08/2000;3;1;1;N;0;0;O;O;32221022703;322210227;01/10/1999;BCNSCO6;02;2bts2 equip.energie op_d: transp.gaz;908;;;
3112550821;311;32025508;2;1;1BTS2 25508;1BTS2 DOMOTIQUE;01/09/1992;31/08/2014;3;1;;N;;;O;O;32211025508;322110255;25/04/2014;BCNSCO6;02;1bts2 domotique;909;;;
3112550822;311;32025508;2;2;2BTS2 25508;2BTS2 DOMOTIQUE;01/09/1992;31/08/2015;3;1;;N;;;O;O;32221025508;322210255;25/04/2014;BCNSCO6;02;2bts2 domotique;910;;;
3112230121;311;32022301;2;1;1BTS2 22301;1BTS2 FONDERIE EN MOULES METALLIQUES;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;32211022301;322110223;27/01/1995;OPS$BCNDEP8;02;1bts2 fonderie en moules metalliques;911;;;
3112230122;311;32022301;2;2;2BTS2 22301;2BTS2 FONDERIE EN MOULES METALLIQUES;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;32221022301;322210223;27/01/1995;OPS$BCNDEP8;02;2bts2 fonderie en moules metalliques;912;;;
