code_gestion;numero_uai;mel;denomination_principale_uai;patronyme_uai;adresse_uai;code_postal_uai;localite_acheminement_uai;numero_telephone_uai;mel_uai;enquete;nature_uai;specificite_uai;nouveau;numero_siren_siret_uai
a10;0010826T;cdiziere666@cecof.asso.fr;CTRE DE FORMATION D'APPRENTIS;CECOF BERNARD PALISSY;52 avenue de la Libération;01502;AMBERIEU EN BUGEY CEDEX;0474384022;cfa@cecof.asso.fr;1;600;;present_enquete_sifa;30957639500037
a10;0010856A;edw.michon666@afpma.fr;CTRE DE FORMATION D'APPRENTIS;DE L'INDUSTRIE AFPMA;1  ALLÉE DES TYRANDES;01960;PERONNAS;0474323636;;1;600;;present_enquete_sifa;77931004400028
a10;0010965U;laurent.molard666@ccca-btp.fr;CTRE DE FORMATION D'APPRENTIS;DU BTP AIN;98  RUE DES COMPAGNONS;01000;BOURG EN BRESSE;0474214497;cfabtp.bourgenbresse@cca-btp.fr;1;600;;present_enquete_sifa;41884676200056
a10;0011164K;;GRETA DE L'AIN;LYCEE JOSEPH-MARIE CARRIAT;1 rue DE CROUY;01000;BOURG EN BRESSE;0474321590;greta-bresse-dombes@ac-lyon.fr;;710;;nouveau;19010016400028
a10;0011256K;;ECOLE 2D DEGRE PROF.PRIVEE;SYLVIA TERRADE BOURG-EN-BRESSE;30 avenue ALPHONSE BAUDIN;01000;BOURG EN BRESSE;0474218620;;;320;APP;nouveau;52407208900070
a10;0011413F;;GEX'SUP;GEX'SUP;Zone TECHNOPARC;01630;ST GENIS POUILLY;;directeur@wes-sup.fr;;400;AP1;nouveau;79528392800013
a10;0011448U;;ORGANISME FORMATION-CFA;IRPA MRIBEL;441 grande rue;01700;MIRIBEL;0660447158;miribel.irpa@gmail.com;;605;;nouveau;32629972400038
a20;0021739E;lise.manca@ccca-btp.fr;CTR DE FORMATION D APPRENTIS;BTP CFA 02;Chemin D AULNOIS;02000;LAON;0323233290;cfabtp.laon@ccca-btp.fr;1;600;;present_enquete_sifa;
d32;0021818R;;LYCEE AGRICOLE PRIVE;R. SCHUMAN - DE CHAUNY;10 ROUTE D'UGNY;02300;CHAUNY;0323391717;chauny@cneap.fr;;320;;nouveau;40861705800016
d32;0021831E;;MAISON FAMILIALE RURALE;DE CLAIRFONTAINE;;02260;CLAIRFONTAINE;0323972730;mfr.clairfontaine@mfr.asso.fr;;380;APP;nouveau;
