ORDRE;uai_mail;bdd iMFR;num_bee_etablissements;RNE iMFR;uai_code_educnationale;;Mail;uai_mail;uai_code_region;uai_region;uai_code_departement;uai_departement;uai_libelle_administratif;uai_libelle_communication;uai_debut_validite;uai_fin_validite;uai_siteweb;uai_telephone;uai_mail;uai_fax;uai_ministere_principal;uai_secteur;uai_nature;uaiprive_orgaffiliation;uaiprive_typecontrat;uai_code_siret;uai_libelle_educnationale;uai_eleve;uai_etudiant;uai_adulte;uai_apprenti;uai_code_commume;uai_commune;adressepostale_ligne1;adressepostale_ligne2;adressepostale_ligne3;adressepostale_ligne4;adressepostale_ligne5;adressepostale_ligne6;adressegeographique_ligne1;adressegeographique_ligne2;adressegeographique_ligne3;adressegeographique_ligne4;adressegeographique_ligne5;adressegeographique_ligne6;uai_niveau;uainiveau1_codedger;uainiveau1_libelle_administratif;uainiveau2_codedger;uainiveau2_libelle_administratif;date_jeu_donnees;coord_wgs84_x;coord_wgs84_y;uai_id_cdn;uai_codedger;uai_type;anneesco_cdn;annee_scolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;bage;01_bagelechatel;32694;0011074M;0011074M;;mfr.bage@mfr.asso.fr;mfr.bage;84;Auvergne-Rhône-Alpes;01;Ain;MFREO de Bage Le Chatel;MFREO de Bage Le Chatel;1999-09-01;;www.mfr01.fr;0385363940;mfr.bage;0385363949;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77929544300013;MAISON FAMILIALE RURALE DE BAGE LE CHATEL;Oui;Non;Oui;Oui;01026;BAGE LE CHATEL;MFREO DE BAGE LE CHATEL;;;325 CHEMIN DE RONE;;01380 BAGE LE CHATEL;MFREO DE BAGE LE CHATEL;;;325 CHEMIN DE RONE;;01380 BAGE LE CHATEL;2;00102312;Association de la MFREO de Bage Le Chatel;;;2020-09-29;4.931216;46.306532;584;00100431;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Montluel - dombes;01_montluel;30513;0011361Z;0011361Z;;mfr.dombes@mfr.asso.fr;mfr.dombes;84;Auvergne-Rhône-Alpes;01;Ain;MFREO de La Dombes à Montluel;MFR de la Dombes;2002-09-01;;http://www.mfr-ladombes.fr;0478066433;mfr.dombes;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;43918302100013;MAISON FAMILIALE RURALE DE LA DOMBES - MONTLUEL;Oui;Non;Oui;Non;01262;MONTLUEL;MFR DE LA DOMBES;;;LIEU DIT SAULSAIE;;01120 MONTLUEL;MFR DE LA DOMBES;;;LIEU DIT SAULSAIE;;01120 MONTLUEL;2;00102708;Association de la MFREO de La Dombes à Montluel;;;2020-09-29;5.016981;45.903802;5000000002877;00102609;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;peronnas;01_peronnas;32693;0011073L;0011073L;;mfr.peronnas@mfr.asso.fr;mfr.peronnas;84;Auvergne-Rhône-Alpes;01;Ain;MFREO 'La Vernée' à Peronnas;MFREO 'La Vernée' à Peronnas;1999-09-01;;www.mfr-peronnas.fr;0474215514;mfr.peronnas;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77933737700021;MAISON FAMILIALE RURALE LA VERNEE - PERONNAS;Oui;Non;Non;Oui;01289;PERONNAS;MFREO  LA VERNEE  A PERONNAS;;;171 CHEMIN DE LA VERNEE;;01960 PERONNAS;MFREO  LA VERNEE  A PERONNAS;;;171 CHEMIN DE LA VERNEE;;01960 PERONNAS;2;00102411;Association de la MFREO la Vernée à Péronnas;;;2020-09-29;5.17810783303597;46.1722946343504;585;00100530;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;pont-de-veyle;01_pontdeveyle;32638;0011171T;0011171T;;mfr.pont-de-veyle@mfr.asso.fr;mfr.pont-de-veyle;84;Auvergne-Rhône-Alpes;01;Ain;MFREO de Pont de Veyle;MFR CFA DE PONT DE VEYLE;1999-09-01;;www.mfr-pontdeveyle.fr;0385362705;mfr.pont-de-veyle;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77936480100026;MAISON FAMILIALE RURALE DE PONT DE VEYLE;Oui;Non;Non;Non;01306;PONT DE VEYLE;MFR CFA DE PONT DE VEYLE;;;20 AVENUE DES SPORTS;;01290 PONT DE VEYLE;MFR CFA DE PONT DE VEYLE;;;20 AVENUE DES SPORTS;;01290 PONT DE VEYLE;2;00102114;Association de la MFREO du Pont de Veyle;;;2020-09-29;4.882652;46.2644;583;00100332;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Montluel - Saulsaie;01_Saulsaiemontluel;32637;0011170S;0011170S;;mfr.saulsaie@mfr.asso.fr;mfr.saulsaie;84;Auvergne-Rhône-Alpes;01;Ain;MFREO 'La Saulsaie' à Montluel;MFR Domaine de la Saulsaie à Montluel;1999-09-01;;www.mfr-domainedelasaulsaie.fr;0478066228;mfr.saulsaie;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;31266699300026;MAISON FAMILIALE RURALE DE LA SAULSAIE - MONTLUEL;Oui;Non;Non;Oui;01262;MONTLUEL;MFR DOMAINE DE LA SAULSAIE A MONTLUEL;;;LIEU DIT SAULSAIE;;01120 MONTLUEL;MFR DOMAINE DE LA SAULSAIE A MONTLUEL;;;LIEU DIT SAULSAIE;;01120 MONTLUEL;2;00102510;Association de la MFREO 'La Saulsaie' de Montluel;;;2020-09-29;5.017532;45.904423;586;00100629;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Ambleny;02_ambleny;67871;0021907M;0021907M;;mfr.Ambleny@mfr.asso.fr;mfr.Ambleny;32;Hauts-de-France;02;Aisne;MFREO de la vallée du retz à Ambleny;MFREO de la vallée du retz à Ambleny;1999-09-01;;;0323742263;mfr.Ambleny;0323741266;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78015919000013;MAISON FAMILIALE RURALE VALLEE DU RETZ - AMBLENY;Oui;Non;Non;Oui;02011;AMBLENY;MFREO DE LA VALLEE DU RETZ A AMBLENY;;;11 RUE DU PONT CHEMINET;;02290 AMBLENY;MFREO DE LA VALLEE DU RETZ A AMBLENY;;;11 RUE DU PONT CHEMINET;;02290 AMBLENY;2;00201951;Association de la MFREO d'Ambleny;;;2020-09-29;3.18894723652155;49.3798270201301;509;00200268;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Clairfontaine;02_beauregard;67891;0021831E;0021831E;;mfr.Clairfontaine@mfr.asso.fr;mfr.Clairfontaine;32;Hauts-de-France;02;Aisne;MFREO de Beauregard-Clairfontaine;Maison Familiale rurale;1999-09-01;;https://www.mfr-beauregard.fr;0323972730;mfr.Clairfontaine;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;30272779700011;MAISON FAMILIALE RURALE DE CLAIRFONTAINE;Oui;Non;Non;Oui;02197;CLAIRFONTAINE;MFREO DE BEAUREGARD-CLAIRFONTAINE;;;1 CHEMIN RURAL BEAUREGARD;;02260 CLAIRFONTAINE;MFREO DE BEAUREGARD-CLAIRFONTAINE;;;1 CHEMIN RURAL BEAUREGARD;;02260 CLAIRFONTAINE;2;00201753;Association de la MFREO à Beauregard-Clairfontaine;;;2020-09-29;3.972613;49.958962;510;00200367;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;la-capelle;02_lacapelle;67872;0021908N;0021908N;;mfr.la-capelle@mfr.asso.fr;mfr.la-capelle;32;Hauts-de-France;02;Aisne;MF- IREO de la Capelle;Maison Familiale Rurale de La Capelle;1999-09-01;;http://mfr.lacapelle.free.fr;0323972133;mfr.la-capelle;0323973271;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;33503646300024;MAISON FAMILIALE RURALE DE LA CAPELLE;Oui;Non;Non;Oui;02141;LA CAPELLE;MAISON FAMILIALE RURALE DE LA CAPELLE;;;12 BIS PLACE DEMI-LUNE;BP 35;02260 LA CAPELLE;MAISON FAMILIALE RURALE DE LA CAPELLE;;;12 BIS PLACE DEMI-LUNE;;02260 LA CAPELLE;2;00201852;Association de la MF-IREO de La Capelle;;;2020-09-29;3.91823900378747;49.9762032209399;511;00200466;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;escurolles;03_escurolles;16186;0030925P;0030925P;;mfr.escurolles@mfr.asso.fr;mfr.escurolles;84;Auvergne-Rhône-Alpes;03;Allier;MFREO d'Escurolles;Maison Familiale Rurale d'Escurolles;2002-09-01;;www.mfr-escurolles.fr;0470905034;mfr.escurolles;0470905600;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;31694466900019;MAISON FAMILIALE RURALE D'ESCUROLLES;Oui;Non;Non;Non;03109;ESCUROLLES;MAISON FAMILIALE RURALE D ESCUROLLES;;;RUE DE LA POSTE;;03110 ESCUROLLES;MAISON FAMILIALE RURALE D ESCUROLLES;;;RUE DE LA POSTE;;03110 ESCUROLLES;2;00302412;Association de la MFREO d'Escurolles;;;2020-09-29;3.262864;46.143152;89;00300531;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;limoise;03_limoise;16162;0030908W;0030908W;;mfr.limoise@mfr.asso.fr;mfr.limoise;84;Auvergne-Rhône-Alpes;03;Allier;MFR de Limoise;MFR limoise;1999-09-01;;www.mfr-limoise.com;0470673030;mfr.limoise;0470673039;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77901965200014;MAISON FAMILIALE RURALE DE LIMOISE;Oui;Non;Non;Non;03146;LIMOISE;MFR LIMOISE;;;LE LIEU JAY;;03320 LIMOISE;MFR LIMOISE;;;LE LIEU JAY;;03320 LIMOISE;2;00302115;Association de la MFR de Limoise;;;2020-09-29;3.057581;46.695061;80;00300135;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
