Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
77568879901571;0371259T;FONDATION APPRENTIS D'AUTEUIL;LYCEE HORTICOLE ET PAYSAGER PRIVE STE JEANNE D ARC;11751561875;actif;formateur;Rue Paul Delvaux 37600 Loches;Orléans-Tours;Centre-Val de Loire;Oui;;agri_unrep;17;1;2023-03-09;0371259T;0371259T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19190087700074;0190866N;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES HAUTE CORREZE;CTRE FORMATION PROFESSIONNELLE PROMOTION AGRICOLE;;actif;responsable_formateur;Rue de l'Ecole Forestière 19250 Meymac;Limoges;Nouvelle-Aquitaine;Non;;agri;1;1;2023-03-01;;0190866N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19320557200012;0320557G;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION AGRICOLE MIRANDE-RISCLE;LYCEE PROFESSIONNEL AGRICOLE DE MIRANDE;7332P000532;actif;responsable_formateur;Valentèes 32300 Mirande;Toulouse;Occitanie;Oui;;agri;1;1;2023-02-26;0320557G;0320557G;0320684V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77940503400025;0261067U;ASSOCIATION FAMILIALE DE GESTION DU LYCEE TECHNIQUE PRIVE LES MANDAILLES;;;actif;formateur;18 Rue du Stade 26330 Châteauneuf-de-Galaure;Grenoble;Auvergne-Rhône-Alpes;Non;;agri_cneap;1;2;2023-02-03;;0261067U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19840110100029;0840606C;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET FORMATION PROFESSIONNELLE AGRICOLES DE LA DURANCE ET DU PAYS DES SORGUES;LYCEE PROFESSIONNEL AGRICOLE LA RICARDE;;actif;formateur;1016 Chemin de l'Ecole d'Agriculture 84800 L'Isle-sur-la-Sorgue;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;agri;2;1;2023-02-03;0840606C;0840606C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78835277100018;0441973F;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DE ST PHILBERT DE GRAND LIEU;;52441005144;actif;inconnue;44 Rue de Joinville 44310 Saint-Philbert-de-Grand-Lieu;Nantes;Pays de la Loire;Oui;mfr;agri_unmfreo|mfr;;;2023-01-23;;0441973F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78095858300038;0611020C;ORPHELINAT AGRICOLE DE GIEL;ECOLE AGRICOLE PRIVEE;25610007561;actif;formateur;Giel-Courteilles;Normandie;Normandie;Non;;agri_cneap;3;3;2023-01-23;;0610724F;0611020C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19150037000041;0150755P;LYCEE AGRICOLE GEORGES POMPIDOU;CENT FORM PROFES AGRI ADULT CFPAA;8315P000715;actif;responsable_formateur;21 Rue de Salers 15000 Aurillac;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;agri;agri;3;1;2023-01-04;0150755P;0150755P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19331424200127;0333522Z;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BORDEAUX GIRONDE;CFPPA MONTAGNE;7233P020333;actif;formateur;36 Route de Goujon 33570 Montagne;Bordeaux;Nouvelle-Aquitaine;Oui;;agri;8;3;2023-01-04;0333522Z;0333522Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19331424200135;0333259N;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BORDEAUX GIRONDE;CFPPA BOMMES;7233P020333;actif;formateur;La Tour Blanche 33210 Bommes;Bordeaux;Nouvelle-Aquitaine;Oui;;agri;8;1;2023-01-04;0333259N;0333259N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19331424200168;0333523A;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BORDEAUX GIRONDE;CFPPA PUGNAC;7233P020333;actif;formateur;Bourg;Bordeaux;Nouvelle-Aquitaine;Oui;;agri;8;1;2023-01-04;0333523A;0333523A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78361042100019;0595122X;ASSOCIATION LYCEE ST-ROCH D'ESTAIRE;;;actif;formateur;15 Rue du College 59940 Estaires;Lille;Hauts-de-France;Non;;agri_cneap;;;2023-01-04;;0595122X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19442061800069;0440395R;NANTES TERRE ATLANTIQUE;CFPPA-SITE JULES RIEFFEL;52440418844;actif;formateur;5 Rue de la Syonnière 44800 Saint-Herblain;Nantes;Pays de la Loire;Oui;agri;agri;2;;2022-12-15;0440395R;0440395R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83419002700013;0891001E;UNREP BOURGOGNE;;27890168189;actif;responsable_formateur;2 Rue Henri Cavallier 89100 Saint-Denis-lès-Sens;Dijon;Bourgogne-Franche-Comté;Oui;;agri_unrep;;1;2022-11-21;0891001E;0891001E;0891330M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78124168200017;0160980D;ASS FAMI GESTION LYC PRI POLY ROC FLEURI;;;actif;formateur;les Grands Rocs 16700 Ruffec;Poitiers;Nouvelle-Aquitaine;Non;;agri_cneap;2;1;2022-11-21;;0160980D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41953572900034;0301791J;FORMATIONS CEVENNES AVENIR;;91300316130;actif;responsable_formateur;DOMAINE DE FONSANGES 30610 SAUVE;Montpellier;Occitanie;Oui;agri|mfr;agri_unmfreo|mfr;;1;2022-06-27;0301791J;0301791J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33484966800044;0641542D;ASS GEST LYCEE AGRIC PRIVE FRANTSES ENIA;;;actif;formateur;Avenue du Jai-alai 64220 Saint-Jean-Pied-de-Port;Bordeaux;Nouvelle-Aquitaine;Non;;agri_cneap;1;1;2022-05-17;;0641542D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19421088600058;0422327B;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES CAMPUS AGRONOVA;CFPPA DE MONTBRISON-PRECIEUX;8242P000442;actif;formateur;Rue du Bourg 42600 Précieux;Lyon;Auvergne-Rhône-Alpes;Oui;agri;agri;3;1;2022-05-11;0422327B;0422327B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34048524200010;0341471P;CTRE ENS FORMATION PROF AGRICOLE;;91340606634;actif;formateur;5 Avenue de Nissan 34310 Capestang;Montpellier;Occitanie;Non;;agri_cneap;1;;2022-04-29;;0341471P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33363402000015;0631582C;MAISON FAMILIALE RURALE EDUCAT & ORIENTA;;84630493963;actif;responsable_formateur;12 Rue des Dômes 63260 Thuret;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;mfr;agri_unmfreo|mfr;;1;2022-03-27;0631582C;0631582C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19782019400029;0782019W;ECOLE NATIONALE SUPERIEURE DE PAYSAGE DE VERSAILLES;;1178P000178;actif;inconnue;10 Rue du Maréchal Joffre 78000 Versailles;Versailles;Île-de-France;Oui;agri;;1;;2022-03-25;;0133968T;0782019W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77683823700019;0311843K;LEP -RURAL PRIVE LE SAVES;;;actif;formateur;7 Place des Marchands 31370 Rieumes;Toulouse;Occitanie;Non;agri|cfa_ec;cfa_ec;1;1;2022-03-21;0311843K;0311843K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49050252300023;0134350H;MAISON FAMILIALE DE LA ROQUE D ANTHERON;;93131736613;actif;responsable_formateur;Chemin de la Dévalade 13640 La Roque-d'Anthéron;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;agri_unmfreo|mfr;;1;2022-03-21;0134350H;0134350H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19370878100029;0370878D;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE D'AMBOISE-CHAMBRAY-LES-TOURS;LYCEE AGRICOLE ET VITICOLE DE LA GABILLIERE;2437P001537;actif;responsable_formateur;46 Avenue Emile Gounin 37400 Amboise;Orléans-Tours;Centre-Val de Loire;Oui;;agri;;1;2022-03-21;0370878D;0370878D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41852807100016;0711439D;ASSOC GESTION LEP PRIVE REINE ANTIER;;;actif;formateur;Saint-Martin-en-Bresse;Dijon;Bourgogne-Franche-Comté;Non;agri|cfa_ec;agri_cneap|cfa_ec;1;1;2022-03-21;0711439D;0711439D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77859246900028;0711441F;LYCEE PROFESSIONNEL PRIVE DE LA BRESSE;;;actif;formateur;600 Avenue Fernand Point 71500 Louhans;Dijon;Bourgogne-Franche-Comté;Non;agri|cfa_ec;agri_cneap|cfa_ec;1;1;2022-03-21;0711441F;0711441F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78189084300019;0332382K;OGEC ECOLE AGRICULTURE BAZADAI;;;actif;formateur;Cudos;Bordeaux;Nouvelle-Aquitaine;Non;;agri_cneap;1;1;2022-03-21;0332382K;0332382K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77825530700010;0211504W;LYCEE PROFESSIONNEL RURAL PRIVE;;;actif;formateur;20 Rue Danton 21210 Saulieu;Dijon;Bourgogne-Franche-Comté;Non;agri|cfa_ec;agri_cneap|cfa_ec;1;1;2022-03-21;0211504W;0211504W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77832039000017;0251480Y;OGECGROUPE SCOLAIRE LASALLE;LATP LASALLE LEVIER;;actif;formateur;1 PL ALEXIS ET NESTOR CRETIN 25270 LEVIER;Besançon;Bourgogne-Franche-Comté;Non;;agri_cneap;1;1;2022-03-21;0251480Y;0251480Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30701450600025;0580661D;AFGEEAP;;;actif;formateur;Chemin des Plantes Froides 58210 Varzy;Dijon;Bourgogne-Franche-Comté;Non;;agri_cneap;1;1;2022-03-21;0580661D;0580661D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41907866200014;0910831J;ASSOCIATION RESPONSABLE DE L'ENSEMBLE SCOLAIRE LA SALLE IGNY;;;actif;formateur;10 Avenue de la Division Leclerc 91430 Igny;Versailles;Île-de-France;Non;agri|cfa_ec;agri_cneap|cfa_ec;1;1;2022-03-21;0910831J;0910831J;0912342B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30293254600013;0693053U;MAISON FAMILIALE RURALE EDUCATION ORIENT;;82691148969;actif;responsable_formateur;Saint-Romain-de-Popey;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;agri_unmfreo|mfr;;1;2022-03-21;0693053U;0693053U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19973021900037;9730492X;ETABLISSEMENT PUB LOCAL ENSEIGNEMENT FORMATION PROFESSIONNELLE AGRICOLES GUYANE;LEGTPA;96973035097;actif;inconnue;2880 Avenue Henry Kong 97355 Macouria;Guyane;Guyane;Oui;agri;agri;1;;2022-03-21;;9730364H;9730449A;9730492X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78083909800016;0271400A;MAISON FAMILIALE RURALE;;23270169927;actif;responsable_formateur;Avenue du Général de Gaulle 27350 Routot;Normandie;Normandie;Oui;mfr;agri_unmfreo|mfr;;1;2022-02-14;0271400A;0271400A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19311262000045;0312223Y;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE TOULOUSE AUZEVILLE;CFPPA TOULOUSE AUZEVILLE D'AUTERIVE;7331P004431;actif;formateur;50 Route de Grazac 31190 Auterive;Toulouse;Occitanie;Oui;agri;agri;3;;2022-02-11;0312223Y;0312223Y;0312331R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77774619900028;0351963U;GROUPE SCOLAIRE D'ENSEIGNEMENT AGRICOLE  PRIVE ANTOINE DE SAINT-EXUPERY;;53350117135;actif;formateur;2 Allée de la Hodeyère 35500 Vitré;Rennes;Bretagne;Oui;agri|cfa_ec;cfa_ec;2;1;2022-02-11;0351963U;0351963U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39041394600042;9711015B;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION  DE BAIE MAHAULT;;01973353997;actif;inconnue;Budan 97122 Baie-Mahault;Guadeloupe;Guadeloupe;Oui;mfr;agri_unmfreo|mfr;;;2022-02-11;;9711015B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32775333100021;0221680G;ASSDE GESTION DU LYCEE ENSEIGNEMENT PROFESSIONNEL PRIVE AGRICOLE SERVICES DOMINIQUE SAVIO;;53220923722;actif;formateur;22 Rue Chateaubriand 22100 Dinan;Rennes;Bretagne;Non;agri|cfa_ec;cfa_ec;1;1;2022-01-25;0221680G;0221680G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77783741000011;0560228U;ASSO GEST LYCEE A DE BRETAGNE;;;actif;formateur;5 Place Anne de Bretagne 56500 Locminé;Rennes;Bretagne;Non;;agri_cneap;1;2;2022-01-25;;0560228U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39948808900026;0352493V;LYCEE ISSAT;ECOLE AGRICULTURE LES CHATELETS;53351055135;actif;formateur;6 Rue de la Maillardaie 35600 Redon;Rennes;Bretagne;Non;agri;agri_cneap;1;2;2022-01-25;0352493V;0351958N;0352493V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77756667000017;0291208F;ASSOCIATION ECOLE CH CHEVILLOTTE LE NIVO;;53290978029;actif;formateur;Le Nivot 29590 Lopérec;Rennes;Bretagne;Non;;agri_cneap;1;2;2022-01-25;0291208F;0291208F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
