Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
33405590200053;0442590B;ECOLE DE DESIGN NANTES ATLANTIQUE;;52440080744;actif;responsable_formateur;61 Boulevard de la Prairie au Duc 44200 Nantes;Nantes;Pays de la Loire;Oui;;cci;;1;19/08/2022;0442590B;0442332W;
18790001400098;0791088D;CHAMBRE DE COMMERCE ET D'INDUSTRIE;CCI FORMATION- SUP'TG NIORT;5479P000279;actif;responsable_formateur;Rue Ernest Pérochon 79000 Niort;Poitiers;Nouvelle-Aquitaine;Oui;;cci;;4;20/07/2022;0791088D;0791088D;
90111295300012;0401095Y;ECOLE SUPERIEURE DU NUMERIQUE DES LANDES;;75400185040;actif;inconnue;293 Avenue du Maréchal Foch 40000 Mont-de-Marsan;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;;;20/06/2022;;0401071X;
82445767500059;0641873N;ECOLE SUPERIEURE DES TECHNOLOGIES INDUSTRIELLES AVANCEES - ESTIA;ESTIA ECOLE D'INGENIEURS;75640409164;actif;responsable_formateur;Allée Fauste d'Elhuyar 64210 Bidart;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;;1;31/03/2022;0641873N;0641873N;
18040001200076;0040589U;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE ALPES-DE-HAUTE-PROVENCE;ECO-CAMPUS PROVENCE FORMATION;9304P000204;actif;formateur;445 Rue Gabriel Besson 04220 Sainte-Tulle;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;cci;2;1;24/03/2022;0040589U;0040548Z;
45235951600054;0912263R;FACULTE DES METIERS DE L ESSONNE;;11910566091;actif;formateur;1 Rue Galvani 91300 Massy;Versailles;Île-de-France;Oui;;cci;2;1;21/03/2022;0912263R;0912263R;
13002980400072;0171208W;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE CHARENTE-MARITIME;CFA COMMERCE DE SAINTES;75170269817;actif;responsable_formateur;Rue de l'Ormeau de Pied 17100 Saintes;Poitiers;Nouvelle-Aquitaine;Oui;;cci;2;4;21/03/2022;0171208W;0171208W;
13002914300026;0251872Z;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE SAONE-DOUBS;GROUPE IMEA CAMPUS BESANCON;;actif;formateur;46 Avenue Villarceau 25000 Besançon;Besançon;Bourgogne-Franche-Comté;Non;;cci;5;1;21/03/2022;;;
13002914300083;0701045F;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE SAONE-DOUBS;GROUPE IMEA CAMPUS VESOUL;;actif;formateur;1 Rue Victor Dolle 70000 Vesoul;Besançon;Bourgogne-Franche-Comté;Non;;cci;5;1;21/03/2022;;;
13002914300042;0252005U;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE SAONE-DOUBS;GROUPE IMEA CAMPUS MONTBELIARD;;actif;formateur;4 Rue Jean Bauhin 25200 Montbéliard;Besançon;Bourgogne-Franche-Comté;Non;;cci;5;1;21/03/2022;;;
89079142900099;0480714R;PURPLE CAMPUS;;76341086134;actif;formateur;10 Rue Albert Einstein 48000 Mende;Montpellier;Occitanie;Oui;;cci;17;2;11/02/2022;0480714R;0480714R;
89079142900057;0342327V;PURPLE CAMPUS;;76341086134;actif;formateur;220 Avenue du Maréchal Juin 34200 Sète;Montpellier;Occitanie;Oui;;cci;16;1;11/02/2022;0342327V;0342327V;
