Siret,UAI validée,Raison sociale,Enseigne,numero_declaration_activite,etat_administratif,Nature,Adresse,Académie,Région,Qualiopi,Réseaux,Réseau à jour,Nombre de relations,Nombre de lieux de formation,Date d'import,UAI probable,UAI potentielle 1,UAI potentielle 2,UAI potentielle 3,UAI potentielle 4,UAI potentielle 5,UAI potentielle 6,UAI potentielle 7,UAI potentielle 8,UAI potentielle 9,UAI potentielle 10,UAI potentielle 11,UAI potentielle 12,UAI potentielle 13,UAI potentielle 14,UAI potentielle 15,UAI potentielle 16,UAI potentielle 17,UAI potentielle 18,UAI potentielle 19,UAI potentielle 20,UAI potentielle 21,UAI potentielle 22,UAI potentielle 23,UAI potentielle 24,UAI potentielle 25,UAI potentielle 26,UAI potentielle 27,UAI potentielle 28,UAI potentielle 29,UAI potentielle 30,UAI potentielle 31,UAI potentielle 32,UAI potentielle 33,UAI potentielle 34,UAI potentielle 35,UAI potentielle 36,UAI potentielle 37,UAI potentielle 38,UAI potentielle 39,UAI potentielle 40,UAI potentielle 41,UAI potentielle 42,UAI potentielle 43,UAI potentielle 44,UAI potentielle 45,UAI potentielle 46,UAI potentielle 47,UAI potentielle 48,UAI potentielle 49,UAI potentielle 50,UAI potentielle 51,UAI potentielle 52,UAI potentielle 53,UAI potentielle 54,UAI potentielle 55,UAI potentielle 56,UAI potentielle 57,UAI potentielle 58,UAI potentielle 59,UAI potentielle 60
30284262000023,,ASS CATHOLIQUE ENSEIGNEMENT AGRICOLE FORMATION RURALE NANDAX,LYCEE AGRICOLE PRIVE,,actif,responsable_formateur,Nandax,Lyon,Auvergne-Rhône-Alpes,Non,agri,agri|cfa ec,2,1,2021-12-17,0421090G,0421090G,0422266K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78044047500017,0511645L,ASS FAMIL GESTION ENSEIG AGRIC PRIVE,,,actif,inconnue,4 Rue des Ecoles 51370 Thillois,Reims,Grand Est,Non,agri|cfa ec,agri|cfa ec,,,2021-12-17,0511645L,0511645L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77642099400019,0421676U,ASSO FAMIL GESTION ST VINCENT,,82420237242,actif,formateur,1 Rue du Petit Lavoir 42450 Sury-le-Comtal,Lyon,Auvergne-Rhône-Alpes,Non,agri,agri|cfa ec,1,1,2021-12-17,0421676U,0421676U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49339665900069,,ASSOCIATION DE GESTION ENSEMBLE CATHOLIQUE JEAN-BAPTISTE LE TAILLANDIER,SITE EDMOND MICHELET,53351084735,actif,formateur,Montaubert 35300 Fougères,Rennes,Bretagne,Oui,agri,agri|cfa ec,1,1,2021-12-17,0351947B,0351947B,0351960R,0353035J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77568879900037,0952157D,FONDATION APPRENTIS D'AUTEUIL,LYCEE PROFESSIONNEL PRIVE ST-JEAN,11751561875,actif,responsable_formateur,Parc de l’Hermitage 95110 Sannois,Versailles,Île-de-France,Oui,agri,agri|cfa ec,14,3,2021-12-17,0950805J,0950805J,0952136F,0952157D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77568879900078,0922688X,FONDATION APPRENTIS D'AUTEUIL,MAISON ST PHILIPPE,11751561875,actif,responsable_formateur,1 Rue du Père Brottier 92190 Meudon,Versailles,Île-de-France,Oui,agri,agri|cfa ec,14,3,2021-12-17,0922688X,0756019K,0783606W,0920981S,0922340U,0922688X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77568879900094,0911551S,FONDATION APPRENTIS D'AUTEUIL,MAISON ST ANTOINE,11751561875,actif,responsable_formateur,53 Avenue Massenat Deroche 91460 Marcoussis,Versailles,Île-de-France,Oui,agri,agri|cfa ec,14,3,2021-12-17,0911551S,0756019K,0911551S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41024149100027,,OGEC AEP HAZPARNE,LYCEE AGRICOLE ET HORTICOLE PRIVE,,actif,formateur,1 Route des Missionnaires 64240 Hasparren,Bordeaux,Nouvelle-Aquitaine,Non,agri,agri|cfa ec,2,2,2021-12-17,0641535W,0641535W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30413855500012,0931654T,OGEC FENELON VAUJOURS,,,actif,formateur,1 Rue de Montauban 93410 Vaujours,Créteil,Île-de-France,Non,agri,agri|cfa ec,1,1,2021-12-17,0931654T,0783606W,0931654T,0931799A,0932467B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78364445300012,,OGEC SAINT ELOI HAZEBROUCK,,32590993759,actif,formateur,10 Rue de la Paix 59190 Hazebrouck,Lille,Hauts-de-France,Non,agri,agri|cfa ec,1,1,2022-03-30,,0593077Z,0596917Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
