uai;siret;raison_sociale;enseigne;nature;departement;commune;adresse;prepa_apprentissage
0010070W;43937112100013;ORGANISME DE GESTION DE L ECOLE CATHOLIQUE ST PIERRE;OGEC;formateur;01;Bourg-en-Bresse;7 RUE VILLENEUVE 01000 BOURG-EN-BRESSE;
0010099C;77931002800013;OGEC SAINT-JOSEPH DE BOURG-EN-BRESSE;;formateur;01;Bourg-en-Bresse;3 B RUE DU LYCEE 01000 BOURG-EN-BRESSE;
0010878Z;77933350900031;OGEC GEX JEANNE D ARC;LYCEE GEN TECHNO PRIVE JEANNE D ARC;formateur;01;Gex;273 RUE DE GENEVE 01170 GEX;
0011058V;77937827200016;ASSOC FAMIL GEST DU L.E.A.P. ST SORLIN;;responsable_formateur;01;Saint-Sorlin-en-Bugey;10 PL DE LA HALLE 01150 SAINT-SORLIN-EN-BUGEY;
0011073L;77933737700021;MAISON FAMILIALE EDUCATION ORIENTATION;;responsable_formateur;01;Péronnas;LA VERNEE 01960 PERONNAS;
0011074M;77929544300013;ASSOCIATION MAISON FAMILIALE RURALE;;responsable_formateur;01;Bâgé-le-Châtel;325 CHE DE RONDE 01380 BAGE-LE-CHATEL;
0011170S;43918302100013;MAISON FAMILIALE DE LA DOMBES;IREO;inconnue;01;Montluel;LA SAULSAIE 01120 MONTLUEL;
0011171T;77936480100026;ASS MAIS FAMIL RURALE EDUCAT ORIENTATION;;responsable_formateur;01;Pont-de-Veyle;AV DES SPORTS 01290 PONT-DE-VEYLE;
0011268Y;77934908300013;ASS MAISON FAMIL APPRENTISSAGE;;responsable_formateur;01;Balan;RUE CENTRALE 01360 BALAN;
0011294B;38206764300017;ECOLE TECHNIQUE DU BOIS;;formateur;01;Plateau d'Hauteville;560 B RTE DU MARAIS 01110 PLATEAU D'HAUTEVILLE;
0011324J;30469122300131;FEDERATION REGIONALE DES MFR;CTRE FORMATION APPRENTIS 1324J;inconnue;01;Plateau d'Hauteville;RUE DU BACHET 01110 PLATEAU D'HAUTEVILLE;
0011444P;19010819100049;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE BOURG-EN-BRESSE;CFPPA DES SARDIERES;formateur;01;Bourg-en-Bresse;79 AV DE JASSERON 01000 BOURG-EN-BRESSE;
0011452Y;81199225400011;SPORTS ET METIERS 01;;responsable_formateur;01;Bellignat;27 RTE D'IERNORE 01100 BELLIGNAT;
0011454A;30540504502286;AFTRAL;AFTRAL;responsable_formateur;01;Bourg-en-Bresse;17 B AV ARSENE D ARSONVAL 01000 BOURG-EN-BRESSE;
0021496R;13002374000330;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA LAON;formateur;02;Laon;30 RUE D ENFER 02000 LAON;
0021739E;50260294900047;BTP CFA PICARDIE;;responsable_formateur;02;Laon;CHE D AULNOIS 02000 LAON;
0021831E;30272779700011;ASS MAISONS FAMILIALES;;responsable_formateur;02;Clairfontaine;HAM BEAUREGARD 02260 CLAIRFONTAINE;
