Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
78218886600027;;OGEC NOTRE DAME LA COMPASSION;;;actif;inconnue;1 Rue de Langeot 47200 Marmande;Bordeaux;Nouvelle-Aquitaine;Non;;cfa_ec;;;19/07/2023;;0470063N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32286429900019;;OGEC DU SAINT AFFRICAIN;;;actif;formateur;23 Rue Lamartine 12400 Saint-Affrique;Toulouse;Occitanie;Non;;cfa_ec;1;1;04/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78019574900012;;OGEC INSTITUTION LA PROVIDENCE;;;actif;formateur;2 Rue Clerjot 02000 Laon;Amiens;Hauts-de-France;Non;;cfa_ec;1;1;16/02/2023;;0021872Z;0022203J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77940503400025;0261067U;ASSOCIATION FAMILIALE DE GESTION DU LYCEE TECHNIQUE PRIVE LES MANDAILLES;;;actif;formateur;18 Rue du Stade 26330 Châteauneuf-de-Galaure;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;2;03/02/2023;;0261067U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78086000300018;;OGEC NOTRE DAME DE LA PROVIDENCE;;25500040250;actif;formateur;Rue Chanoine Berenger 50300 Avranches;Normandie;Normandie;Non;;cfa_ec;1;1;03/02/2023;;0500112A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77976658300156;0693267B;OGEC NOTRE-DAME;;;actif;formateur;5 Avenue des Belges 69170 Tarare;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;3;1;03/02/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77786604700015;;OGEC LA MENNAIS - ST ARMEL;;;actif;formateur;2 Rue du General Dubreton 56800 Ploërmel;Rennes;Bretagne;Non;;cfa_ec;1;1;23/01/2023;;0560105K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78058910700017;;OGEC ETABLISSEMENT SAINT-PIERRE;;;actif;formateur;24 place georges clémenceau 80100 Abbeville;Amiens;Hauts-de-France;Non;;cfa_ec;1;1;23/01/2023;;0801206B;0801945E;0802216Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77564410700028;0381678T;ASSOCIATION DE GESTION DU GROUPE ROBIN;;;actif;inconnue;6 Place Saint Pierre 38200 Vienne;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;3;;04/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77502009200026;;OGEC BOURGES CENTRE;;;actif;formateur;38 Rue Jean Baffier 18000 Bourges;Orléans-Tours;Centre-Val de Loire;Non;;cfa_ec;1;1;04/01/2023;;0180561M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
