Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;;;;;;;;;;;;;
77976658300115;0692360R;OGEC NOTRE-DAME;;82690648169;actif;responsable_formateur;96 Rue Henri Depagneux 69400 Limas;Lyon;Auvergne-Rhône-Alpes;Oui;cfa ec|cma;cfa_ec|cma;2;1;11/02/2022;0692360R;0692360R;;;;;;;;;;;;;;;;
13002797200152;0780424M;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION ILE-DE-FRANCE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE YVELINES;11756120375;actif;formateur;19 Avenue du Général Mangin 78000 Versailles;Versailles;Île-de-France;Oui;;cma;14;1;25/01/2022;0780424M;0780424M;;;;;;;;;;;;;;;;
18972001400035;9720490A;CHAMBRE DE METIERS ET DE L'ARTISANAT;CENTRE DE FORMATION D'APPRENTIS;9797P000797;actif;responsable_formateur;Quartier la Haut 97215 Rivière-Salée;Martinique;Martinique;Oui;cma;cma;1;1;25/01/2022;9720490A;9720490A;;;;;;;;;;;;;;;;
13002607300176;0711078L;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION BOURGOGNE FRANCHE-COMTE;CIFA JEAN LAMELOISE;27390124239;actif;responsable_formateur;Voie Romaine 71640 Mercurey;Dijon;Bourgogne-Franche-Comté;Oui;;cma;3;1;03/01/2022;0711078L;0711078L;;;;;;;;;;;;;;;;
13002793100224;0342347S;CHAMBRE DE METIERS ET DE L ARTISANAT DE LA REGION OCCITANIE PYRENEES-MEDITERRANEE;CMA DE L'HERAULT;76311030031;actif;responsable_formateur;154 Rue Bernard Giraudeau 34080 Montpellier;Montpellier;Occitanie;Oui;;cma;15;;03/01/2022;;0342347S;;;;;;;;;;;;;;;;
13002793100190;0320542R;CHAMBRE DE METIERS ET DE L ARTISANAT DE LA REGION OCCITANIE PYRENEES-MEDITERRANEE;CFA DU GERS;76311030031;actif;responsable_formateur;1 Avenue de la République 32550 Pavie;Toulouse;Occitanie;Oui;;cma;15;3;03/01/2022;0320542R;0320542R;;;;;;;;;;;;;;;;
32886010100042;0211479U;ASS GEST DEVELOP CTRE FORMATION APPRENTI;;26210018121;actif;responsable_formateur;1 Chemin de la Noue 21600 Longvic;Dijon;Bourgogne-Franche-Comté;Oui;cma;cma;;1;03/01/2022;0211479U;0211479U;;;;;;;;;;;;;;;;
13002793100299;0480499G;CHAMBRE DE METIERS ET DE L ARTISANAT DE LA REGION OCCITANIE PYRENEES-MEDITERRANEE;CMA DE LOZERE;76311030031;actif;responsable_formateur;2 Rue du Soubeyran 48000 Mende;Montpellier;Occitanie;Oui;;cma;15;1;03/01/2022;0480499G;0313056D;0480499G;;;;;;;;;;;;;;;
13002793100141;0311729L;CHAMBRE DE METIERS ET DE L ARTISANAT DE LA REGION OCCITANIE PYRENEES-MEDITERRANEE;ESM DE HAUTE-GARONNE;76311030031;actif;responsable_formateur;21 Chemin de la Pyramide 31600 Muret;Toulouse;Occitanie;Oui;;cma;15;4;03/01/2022;0311729L;0311729L;0313056D;;;;;;;;;;;;;;;
13002793100356;0810791V;CHAMBRE DE METIERS ET DE L ARTISANAT DE LA REGION OCCITANIE PYRENEES-MEDITERRANEE;CFA DU TARN;76311030031;actif;responsable_formateur;112 Rue de Terssac 81000 Albi;Toulouse;Occitanie;Oui;cma;cma;15;7;03/01/2022;0810791V;0810791V;;;;;;;;;;;;;;;;
13002799800116;0501605Y;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NORMANDIE;CMA NORMANDIE - URMA-MANCHE-IFORM;28140350314;actif;formateur;3 Rue Pasteur 50200 Coutances;Normandie;Normandie;Oui;agri|cma;agri|cma;7;1;03/01/2022;0501605Y;0501605Y;;;;;;;;;;;;;;;;
13002799800140;0762518Z;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NORMANDIE;CMA NORMANDIE-URMA-SEINE-MARITIME-EUGENIE BRAZIER;28140350314;actif;formateur;Rouxmesnil-Bouteilles;Normandie;Normandie;Oui;cma;cma;7;1;03/01/2022;0762518Z;0142380L;0762518Z;;;;;;;;;;;;;;;
13002799800108;0141300M;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NORMANDIE;CMA NORMANDIE - URMA-CALVADOS-CIFAC;28140350314;actif;formateur;4 Rue Claude Bloch 14000 Caen;Normandie;Normandie;Oui;cma;cma;7;1;03/01/2022;0141300M;0141300M;0142380L;;;;;;;;;;;;;;;
13002374000363;0602114X;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA COMPIEGNE;32590946759;actif;formateur;1bis Rue Joseph Cugnot 60200 Compiègne;Amiens;Hauts-de-France;Oui;cma;cma;19;3;17/12/2021;0602114X;0602114X;;;;;;;;;;;;;;;;
13002374000322;0022112K;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA LA CAPELLE;32590946759;actif;formateur;171 Rue du General de Gaulle 02260 La Capelle;Amiens;Hauts-de-France;Oui;cma;cma;19;2;17/12/2021;0022112K;0022112K;;;;;;;;;;;;;;;;
13002374000330;0021496R;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA LAON;32590946759;actif;formateur;30 Rue d’Enfer 02000 Laon;Amiens;Hauts-de-France;Oui;cma;cma;19;1;17/12/2021;0021496R;0021496R;;;;;;;;;;;;;;;;
13002374000348;0601203G;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CMA BEAUVAIS;32590946759;actif;formateur;3 Rue Léonard de Vinci 60000 Beauvais;Amiens;Hauts-de-France;Oui;agri|cma;agri|cma;19;2;17/12/2021;0601203G;0601203G;0601206K;;;;;;;;;;;;;;;
13002087800075;0040161D;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION PROVENCE-ALPES-COTE D'AZUR;CFA RENE VILLENEUVE;93131575513;actif;formateur;15 rue maldonnat 04000 Digne-les-Bains;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;cma;7;;17/12/2021;0040161D;0040161D;0134400M;;;;;;;;;;;;;;;
13002087800158;0840733R;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION PROVENCE-ALPES-COTE D'AZUR;CFA;93131575513;actif;formateur;Saint-Roch 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;cma;8;1;17/12/2021;0840733R;0134400M;0831374T;0840526R;0840733R;;;;;;;;;;;;;
13002792300288;0790924A;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NOUVELLE AQUITAINE;CMA DES DEUX SEVRES;75331281433;actif;formateur;22 Rue des Herbillaux 79000 Niort;Poitiers;Nouvelle-Aquitaine;Oui;;cma;18;;17/12/2021;;0790924A;;;;;;;;;;;;;;;;
13002792300379;0870773T;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION NOUVELLE AQUITAINE;CFA LE MOULIN RABAUD;75331281433;actif;formateur;104 rue de Saint Gence 87100 Limoges;Limoges;Nouvelle-Aquitaine;Oui;cma;cma;18;4;17/12/2021;0870773T;0171183U;0870773T;;;;;;;;;;;;;;;
