Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
77566202600175;0312238P;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;CRS PROMOTION PROFESSIONNELLE;11750079275;actif;responsable_formateur;28 RUE DES PYRENEES 31400 TOULOUSE;Toulouse;Occitanie;Oui;;comp_du_devoir;35;1;17/12/2021;0312239R;0312238P;0312239R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77566202600985;0050629G;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;;11750079275;actif;formateur;403 AV DU GENERAL DE GAULLE 05120 L'ARGENTIERE-LA-BESSEE;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;comp_du_devoir;35;1;17/12/2021;0050629G;0050629G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77566202600019;0752868K;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;;11750079275;actif;responsable;82 RUE DE L HOTEL DE VILLE 75004 PARIS 4;Paris;Île-de-France;Oui;;comp_du_devoir;35;;17/12/2021;0752868K;0133475G;0212000K;0332882D;0371437L;0492219W;0693088G;0752868K;0754792B;0811166C;0932633G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77566202601116;0342064J;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;;11750079275;actif;responsable_formateur;1 AV DES COMPAGNONS DU DEVOIR 34670 BAILLARGUES;Montpellier;Occitanie;Oui;;comp_du_devoir;35;2;17/12/2021;0342064J;0301567R;0342064J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78223719200029;0642033M;FEDER COMPAGNONIQUE METIERS DU BATIMENT;;72640001064;actif;responsable_formateur;3 ALL DE BELLEVUE 64600 ANGLET;Bordeaux;Nouvelle-Aquitaine;Oui;;comp_du_tour_de_france;;2;17/12/2021;0642033M;0624240X;0642033M;0642047C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41893313100033;0741557R;FEDERATION COMPAGNONNIQUE REGIONALE DES PAYS DE SAVOIE;;82740078474;actif;responsable_formateur;29 RUE DES SPORTS 74600 ANNECY;Grenoble;Auvergne-Rhône-Alpes;Oui;comp_du_tour_de_france;comp_du_tour_de_france;;1;17/12/2021;0741557R;0741557R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77566202601173;0772864V;ASS OUVRIERE COMPAGNON DEVOIR TOUR FRANC;;11750079275;actif;formateur;9 BD DESCARTES 77420 CHAMPS-SUR-MARNE;Créteil;Île-de-France;Oui;;comp_du_devoir;35;1;17/12/2021;0772864V;0772864V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78184280200048;0333240T;FEDER COMPAGNONNIQUE BATIMENT;;72330004233;actif;responsable_formateur;6 AV JEAN ALFONSEA 33270 FLOIRAC;Bordeaux;Nouvelle-Aquitaine;Oui;comp_du_tour_de_france;comp_du_tour_de_france;;1;17/12/2021;0333240T;0333240T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77986700100058;0693694R;FEDERATION  COMPAGNONNIQUE REGIONALE DE LYON;;82690008769;actif;responsable_formateur;49 RUE FEUILLAT 69003 LYON 3EME;Lyon;Auvergne-Rhône-Alpes;Oui;comp_du_tour_de_france;comp_du_tour_de_france;;1;17/12/2021;0693694R;0693694R;0772547A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81893333500023;0596711Z;FEDERATION COMPAGNONNIQUE REGIONALE HAUTS DE FRANCE;;32620280762;actif;inconnue;91 RUE DES USINES 59460 JEUMONT;Lille;Hauts-de-France;Oui;;comp_du_tour_de_france;1;;17/12/2021;;0596711Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
