Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
19570099200074;;LYCEE DES METIERS HENRI NOMINE;GRETA - LORRAINE EST;4157P001857;actif;inconnue;11 Rue Jean Baptiste Dumaire 57200 Sarreguemines;Nancy-Metz;Grand Est;Oui;;greta;1;;28/03/2023;;0572998Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19590258000065;;LYCEE GENERAL ET TECHNOLOGIQUE GASTON BERGER;GRETA LILLE METROPOLE;31590895059;actif;formateur;111 Avenue de Dunkerque (Lille) 59000 Lille;Lille;Hauts-de-France;Non;;greta;2;1;27/03/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19040007700011;;LYCEE PROFESSIONNEL BEAU ROCHAS ALPHONSE;;;actif;formateur;10 avenue maréchal leclerc 04000 Digne-les-Bains;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;1;;04/01/2023;;0040007L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19030051700025;;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT LONDRES;GRETA DU BASSIN DORE - ALLIER;8303P002103;actif;formateur;24 Boulevard du 8 Mai 1945 03300 Cusset;Clermont-Ferrand;Auvergne-Rhône-Alpes;Non;;greta;2;1;04/01/2023;;0031075C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19420078800017;0420078G;LYCEE PROFESSIONNEL CLAUDE LEBOIS;;;actif;formateur;8 Boulevard Alamagny 42400 Saint-Chamond;Lyon;Auvergne-Rhône-Alpes;Non;;en_hors_murs;1;1;15/12/2022;0420078G;0420078G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19470782400018;0470782V;LYCEE D ENSPROFESSIONNEL JEAN MONNET;;;actif;formateur;Rue Marcel Pagnol 47510 Foulayronnes;Bordeaux;Nouvelle-Aquitaine;Non;;en_hors_murs;1;2;14/12/2022;0470782V;0470782V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19870041100012;0870041X;LYCEE PROFESSIONNEL EDOUARD VAILLANT;;;actif;formateur;38 Route du Dérot 87200 Saint-Junien;Limoges;Nouvelle-Aquitaine;Non;;en_hors_murs;1;2;14/12/2022;0870041X;0870041X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18751265200020;0756250L;GIP FORMATION CONTINUE ET INSERTION PROF;;11753771575;actif;responsable_formateur;12 Boulevard d'Indochine 75019 Paris;Paris;Île-de-France;Oui;;en_cfa_academique;;24;02/09/2022;0756250L;0756250L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19753268200014;;LYCEE POLYVALENT JEAN LURCAT;;;actif;formateur;48 Avenue des Gobelins 75013 Paris;Paris;Île-de-France;Non;;en_hors_murs;;;17/04/2022;;0753268V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19840046700017;0840046U;LYCEE PROFESSIONNEL BRIAND ARISTIDE;;;actif;formateur;7 Cours Aristide Briand 84100 Orange;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;greta;greta;1;1;24/03/2022;0840046U;0840046U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
