Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à  jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4
19840046700017;0840046U;LYCEE PROFESSIONNEL BRIAND ARISTIDE;;;actif;formateur;7 Cours Aristide Briand 84100 Orange;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;24/03/2022;0840046U;0840046U;;;
19840021000011;0840021S;LYCEE POLYVALENT ALPHONSE BENOIT;;;actif;formateur;Cours Victor Hugo 84800 L'Isle-sur-la-Sorgue;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;21/03/2022;0840021S;0840021S;;;
19440074300010;0440074S;LYCEE PROFESSIONNEL BROSSAUD BLANCHO - LYCEE DES METIERS;;;actif;formateur;10 Avenue Pierre de Coubertin 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;greta;greta;1;1;11/02/2022;0440074S;0440074S;;;
19440288900019;0440288Z;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CAMUS;;;actif;formateur;11 Rue Etienne Coutan 44100 Nantes;Nantes;Pays de la Loire;Non;greta;greta;1;1;11/02/2022;0440288Z;0440288Z;;;
19441656600017;0441656L;LYCEE PROFESSIONNEL PABLO NERUDA;;;actif;formateur;Rue Pablo Neruda 44340 Bouguenais;Nantes;Pays de la Loire;Non;greta;greta;1;1;11/02/2022;0441656L;0441656L;;;
19840763700018;0840763Y;LYCEE PROFESSIONNEL ARGENSOL (QU DE L');LP;;actif;formateur;Rue Henri Dunant 84100 Orange;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;25/01/2022;0840763Y;0840763Y;;;
19840017800010;0840017M;LYCEE POLYVALENT DAUPHIN ISMAEL;;;actif;formateur;Rue Henri Fabre 84300 Cavaillon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;25/01/2022;0840017M;0840017M;;;
19490055100012;0490055U;LYCEE POLYVALENT SADI CARNOT - JEAN BERTIN - LYCEE DES METIERS;;;actif;formateur;25 Rue Marceau 49400 Saumur;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0490055U;0490055U;;;
19850043100012;0850043K;LYCEE PROFESSIONNEL VALERE MATHE;;;actif;inconnue;26 Rue haute 85100 Les Sables-d'Olonne;Nantes;Pays de la Loire;Non;greta;greta;;;25/01/2022;;0850043K;;;
19840042600013;0840042P;LYCEE PROFESSIONNEL ROBERT SCHUMAN;;;actif;formateur;138 Avenue de Tarascon 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;2;1;25/01/2022;0840042P;0840042P;;;
19530016500014;0530016E;LYCEE GENERAL ET TECHNOLOGIQUE LAVOISIER;;;actif;inconnue;281 Rue du Pommier 53100 Mayenne;Nantes;Pays de la Loire;Non;greta;greta;;;25/01/2022;0530016E;0530016E;;;
19530004100017;0530004S;LYCEE GENERAL TECHNOLOGIQUE VICTOR HUGO;;;actif;formateur;4 Rue du Général Lemonnier 53200 Château-Gontier-sur-Mayenne;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0530004S;0530004S;;;
