Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;
41953572900034;0301791J;FORMATIONS CEVENNES AVENIR;;91300316130;actif;responsable_formateur;DOMAINE DE FONSANGES 30610 SAUVE;Montpellier;Occitanie;Oui;mfr;;;2;2022-06-27;0301791J;0301791J;;
33363402000015;0631582C;MAISON FAMILIALE RURALE EDUCAT & ORIENTA;;84630493963;actif;inconnue;12 Rue des Dômes 63260 Thuret;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;mfr;mfr;;;2022-03-27;;0631582C;;
49050252300023;0134350H;MAISON FAMILIALE DE LA ROQUE D ANTHERON;;93131736613;actif;responsable_formateur;Chemin de la Dévalade 13640 La Roque-d'Anthéron;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;mfr;;1;2022-03-21;0134350H;0134350H;;
30293254600013;0693053U;MAISON FAMILIALE RURALE EDUCATION ORIENT;;82691148969;actif;responsable_formateur;Saint-Romain-de-Popey;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;;1;2022-03-21;0693053U;0693053U;;
78083909800016;0271400A;MAISON FAMILIALE RURALE;;23270169927;actif;responsable_formateur;Avenue du Général de Gaulle 27350 Routot;Normandie;Normandie;Oui;;mfr;;1;2022-02-14;0271400A;0271400A;;
39041394600042;9711015B;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION  DE BAIE MAHAULT;;1973353997;actif;inconnue;Budan 97122 Baie-Mahault;Guadeloupe;Guadeloupe;Oui;;mfr;;;2022-02-11;;9711015B;;
77741768400019;0221734R;MAISON FAMILIALE RURALE MOULIN DE COLVE;;53220895622;actif;responsable_formateur;Rue de Colvé 22190 Plérin;Rennes;Bretagne;Oui;mfr;mfr;;1;2022-01-25;0221734R;0221734R;;
78616257800011;0491833B;MAISON FAMIL RURALE EDUC BEAUFORT ANJOU;;52490380649;actif;inconnue;La Blinière 49250 Beaufort-en-Anjou;Nantes;Pays de la Loire;Oui;mfr;mfr;;;2022-01-25;0491833B;0491833B;;
31460417400016;9710996F;MAISON FAMILIALE RURALE;;1973333397;actif;inconnue;Cadet 97115 Sainte-Rose;Guadeloupe;Guadeloupe;Oui;mfr;mfr;;;2022-01-25;9710996F;9710996F;;
40150716500017;0492259P;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION LE CEDRE;;52490284149;actif;responsable_formateur;10 Rue des Claveries 49124 Saint-Barthélemy-d'Anjou;Nantes;Pays de la Loire;Oui;mfr;mfr;;1;2022-01-25;0492259P;0492259P;;
78647181300018;0851231B;MAISON FAMILIALE RURALE;;;actif;responsable_formateur;10 Rue de la palle 85580 Saint-Michel-en-l'Herm;Nantes;Pays de la Loire;Non;;mfr;;;2022-01-25;0851231B;0851231B;;
78338470400012;0550909P;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DE BRAS SUR MEUSE;;41550026155;actif;responsable_formateur;14 Avenue Raymond Poincare 55100 Bras-sur-Meuse;Nancy-Metz;Grand Est;Oui;mfr;mfr;;2;2022-01-25;0550909P;0550909P;;
81206220600014;0040577F;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION DE BLEONE DURANCE;;93040100404;actif;responsable_formateur;1 Rue Victorin-maurel 04160 Château-Arnoux-Saint-Auban;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;;2022-01-25;0040577F;0040565T;0040577F;
30721264700019;0451247L;MAISON FAMILIALE RURALE D EDUCATION;;24450367645;actif;responsable_formateur;32 Place Pasteur 45230 Sainte-Geneviève-des-Bois;Orléans-Tours;Centre-Val de Loire;Oui;mfr;mfr;1;2;2022-01-25;0451247L;0451247L;0451691U;
78088962200012;0501592J;MAISON FAMILIALE RURALE EDUCAT ET ORIENT;;28500133150;actif;responsable_formateur;route de lessay mobecq 50250 La Haye;Normandie;Normandie;Oui;mfr;mfr;;1;2022-01-25;0501592J;0501592J;;
78092782800027;0501671V;MAISON FAMILIALE RURALE DE LA HAGUE;;25500116950;actif;responsable_formateur;6 Allée du Clocher Urville-nacquev 50460 La Hague;Normandie;Normandie;Oui;mfr;mfr;;1;2022-01-25;0501671V;0501671V;;
