Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
34872549000067;0502019Y;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;formateur;AV GENERAL KOENIG 50100 CHERBOURG-EN-COTENTIN;Normandie;Normandie;Oui;;uimm;3;1;2022-11-21;0502019Y;0502019Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88479319100039;0261542K;ASSOCIATION DE FORMATION PROFESSIONNELLE DE L'INDUSTRIE DE LA LOIRE DE LA DROME ET DE L'ARDECHE;;;actif;responsable_formateur;CHE DU PLATEAU DE LAUTAGNE 26000 VALENCE;Grenoble;Auvergne-Rhône-Alpes;Non;uimm;uimm;1;;2022-01-25;0261542K;0261542K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34872549000034;0611152W;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;formateur;POLE UNIVERSITAIRE D'ALENCON 61250 DAMIGNY;Normandie;Normandie;Oui;uimm;uimm;3;1;2022-01-03;0611152W;0611152W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34872549000026;0142106N;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;responsable_formateur;12 RUE PROF JOSEPH ROUSSELOT 14000 CAEN;Normandie;Normandie;Oui;uimm;uimm;3;1;2022-01-03;0142106N;0141601P;0142106N;0142430R;0502019Y;0611152W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39279259400039;0341919B;ASS PROMOTION APPRENTISSAGE INDUSTRIES;;91340825234;actif;responsable_formateur;14 RUE FRANCOIS PERROUX 34670 BAILLARGUES;Montpellier;Occitanie;Oui;uimm;uimm;3;1;2022-01-03;0341919B;0301874Z;0341919B;0342307Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31418698200042;0212001L;CFAI 21 71;;27710289571;actif;formateur;6 ALL ANDRE BOURLAND 21000 DIJON;Dijon;Bourgogne-Franche-Comté;Oui;;uimm;1;2;2021-12-17;0212001L;0212001L;0711566S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38855948600070;0681832X;CFAI ALSACE;;42680205768;actif;responsable_formateur;31 RUE FRANCOIS SPOERRY 68100 MULHOUSE;Strasbourg;Grand Est;Oui;;uimm;;7;2021-12-17;0681832X;0681832X;0682021C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30048880600146;0595379B;CFAI REGION NORD PAS-DE-CALAIS;;32591068459;actif;responsable_formateur;AV JEAN MONNET 59640 DUNKERQUE;Lille;Hauts-de-France;Oui;;uimm;5;1;2021-12-17;0595379B;0595379B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88474598500033;0261542K;CENTRE DE FORMATION DES APPRENTIS DE L INDUSTRIE LOIRE DROME ARDECHE (CFAI - LDA);;84420341742;actif;responsable_formateur;CHE DU PLATEAU DE LAUTAGNE 26000 VALENCE;Grenoble;Auvergne-Rhône-Alpes;Oui;;uimm;2;1;2021-12-17;0261542K;0261542K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77572845400205;0932760V;AFORP FORMATION;;11921813492;actif;responsable_formateur;64 AV DE LA PLAINE DE FRANCE 93290 TREMBLAY-EN-FRANCE;Créteil;Île-de-France;Oui;uimm;uimm;6;3;2021-12-17;0932760V;0780850A;0922675H;0932760V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33453316300112;0411090M;ASS REGION PROMOTION METALLURG;;24450224445;actif;formateur;5 RUE DES ONZE ARPENTS 41000 BLOIS;Orléans-Tours;Centre-Val de Loire;Oui;uimm;uimm;4;1;2021-12-17;0411090M;0411090M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39310452600057;0631967W;CFAI D AUVERGNE;;84030377203;actif;responsable_formateur;28 RUE DU FOREZ 63300 THIERS;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;uimm;2;1;2021-12-17;0631967W;0631967W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39310452600016;0031030D;CFAI D AUVERGNE;;84030377203;actif;responsable_formateur;62 RUE HENRI BARBUSSE 03630 DESERTINES;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;uimm;7;1;2021-12-17;0031030D;0031030D;0631968X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49317540000016;0741677W;CFAI FORMAVENIR;;84740406374;actif;inconnue;27 RUE ROYALE 74000 ANNECY;Grenoble;Auvergne-Rhône-Alpes;Oui;uimm;uimm;2;;2021-12-17;0741677W;0741677W;0741776D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30048880600120;0594576D;CFAI REGION NORD PAS-DE-CALAIS;;32591068459;actif;inconnue;4 RUE DES CHATEAUX 59700 MARCQ-EN-BAROEUL;Lille;Hauts-de-France;Oui;;uimm;5;;2021-12-17;0594576D;0593335E;0594576D;0595379B;0595380C;0623373E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35109084000056;0333206F;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;formateur;3 LE GRAND VERGER 33860 REIGNAC;Bordeaux;Nouvelle-Aquitaine;Oui;uimm;uimm;3;1;2021-12-17;0333206F;0333206F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35109084000072;0241204D;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;formateur;BD DES SAVEURS 24660 COULOUNIEIX-CHAMIERS;Bordeaux;Nouvelle-Aquitaine;Oui;uimm;uimm;3;1;2021-12-17;0241204D;0241204D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40120610700039;0511949S;CFAI DE CHAMPAGNE ARDENNE;;44510203351;actif;responsable_formateur;131 AV CHARLES DE GAULLE 08000 CHARLEVILLE-MEZIERES;Reims;Grand Est;Oui;;uimm;3;2;2021-12-17;0511949S;0081059H;0511949S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33453316300104;0180949J;ASS REGION PROMOTION METALLURG;;24450224445;actif;formateur;9 BD LAHITOLLE 18000 BOURGES;Orléans-Tours;Centre-Val de Loire;Oui;uimm;uimm;4;1;2021-12-17;0180949J;0180949J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30048880600138;0623373E;CFAI REGION NORD PAS-DE-CALAIS;;32591068459;actif;responsable_formateur;360 RUE MIROSLAW HOLLER 62110 HENIN-BEAUMONT;Lille;Hauts-de-France;Oui;;uimm;5;1;2021-12-17;0623373E;0593335E;0623373E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
